order_id,customer_id,seller_id,order_date,total_items,total_amount,payment_method,order_status
205,456,44,2024-10-08,4,46649,UPI,Cancelled
206,561,5,2024-12-17,5,27160,UPI,Returned
207,499,2,2024-01-20,3,40028,COD,Cancelled
208,198,10,2024-08-15,5,2395,Credit Card,Returned
209,954,11,2024-02-15,1,42149,UPI,Cancelled
210,938,12,2024-04-10,4,38367,Wallet,Returned
211,34,16,2024-06-19,3,35807,Credit Card,Cancelled
212,662,14,2024-05-09,4,42686,Wallet,Delivered
213,102,2,2024-07-17,4,41707,UPI,Returned
214,978,48,2024-07-08,4,32632,COD,Cancelled
215,965,9,2024-06-24,4,10459,Credit Card,Cancelled
216,620,8,2024-11-01,2,45243,Credit Card,Returned
217,725,28,2024-11-25,4,48143,Credit Card,Returned
218,370,23,2024-03-06,2,25899,UPI,Cancelled
219,112,17,2024-09-23,2,25645,Credit Card,Delivered
220,207,24,2024-09-21,4,42231,Wallet,Cancelled
221,455,42,2024-07-13,1,46629,Credit Card,Cancelled
222,592,24,2024-11-16,5,5962,UPI,Cancelled
223,614,21,2024-01-18,4,816,Credit Card,Delivered
224,216,21,2024-11-01,5,27710,COD,Cancelled
225,389,33,2024-04-01,5,47021,Wallet,Cancelled
226,993,25,2024-04-30,1,24059,Wallet,Cancelled
227,302,27,2024-11-26,3,25653,UPI,Cancelled
228,377,1,2024-03-20,3,46750,Wallet,Delivered
229,191,8,2024-09-12,5,48817,UPI,Cancelled
230,294,22,2024-05-16,2,32693,COD,Cancelled
231,799,24,2024-01-04,2,38876,COD,Returned
232,181,32,2024-06-30,3,36803,Wallet,Cancelled
233,402,33,2024-02-16,5,35525,Credit Card,Returned
234,697,38,2024-06-19,2,8445,UPI,Cancelled
235,547,13,2024-03-30,1,38431,Wallet,Cancelled
236,144,6,2024-10-18,2,12179,COD,Cancelled
237,807,25,2024-01-29,4,9404,Wallet,Cancelled
238,289,23,2024-12-24,3,33109,Wallet,Cancelled
239,247,17,2024-04-05,3,24970,Credit Card,Delivered
240,281,37,2024-05-14,3,16951,Credit Card,Delivered
241,77,19,2024-11-25,3,26776,COD,Returned
242,491,5,2024-01-18,3,44934,COD,Returned
243,891,31,2024-11-30,4,6128,Wallet,Cancelled
244,194,21,2024-04-29,3,43833,COD,Delivered
245,170,44,2024-03-03,2,28594,UPI,Delivered
246,772,45,2024-04-28,1,2704,Wallet,Cancelled
247,762,32,2024-08-04,2,12673,UPI,Delivered
248,189,30,2024-05-04,2,2854,Wallet,Returned
249,955,28,2024-07-10,5,6562,UPI,Delivered
250,66,8,2024-03-16,3,4615,UPI,Returned
251,874,42,2024-03-22,3,46618,COD,Delivered
252,756,31,2024-03-21,1,3353,COD,Cancelled
253,917,45,2024-08-09,1,16994,Credit Card,Cancelled
254,64,21,2024-04-08,4,36536,Credit Card,Delivered
255,970,24,2024-03-23,3,44265,Wallet,Cancelled
256,970,44,2024-01-02,3,7362,COD,Delivered
257,306,48,2024-09-05,4,30997,COD,Delivered
258,778,5,2024-08-22,3,29353,UPI,Cancelled
259,177,7,2024-01-10,1,19070,COD,Delivered
260,501,42,2024-02-21,2,8368,Wallet,Returned
261,129,20,2024-01-14,1,38306,Credit Card,Delivered
262,879,38,2024-02-11,1,42915,COD,Cancelled
263,430,31,2024-09-05,5,13174,Credit Card,Delivered
264,168,17,2024-02-15,4,32057,Wallet,Cancelled
265,372,32,2024-03-08,2,4688,Wallet,Delivered
266,719,43,2024-09-22,5,24600,COD,Delivered
267,900,48,2024-06-17,2,42289,Credit Card,Cancelled
268,921,34,2024-02-12,5,15866,Wallet,Returned
269,791,47,2024-08-20,5,32406,Wallet,Delivered
270,23,19,2024-11-04,4,48460,UPI,Cancelled
271,83,23,2024-07-17,2,36457,Credit Card,Cancelled
272,107,5,2024-07-11,1,35795,COD,Cancelled
273,256,47,2024-05-14,1,25197,Wallet,Returned
274,27,30,2024-12-22,5,4655,Credit Card,Delivered
275,416,14,2024-10-10,5,12363,COD,Delivered
276,69,28,2024-10-31,2,4320,Credit Card,Returned
277,546,41,2024-05-07,4,8458,Wallet,Delivered
278,219,50,2024-08-09,3,29995,Wallet,Returned
279,368,49,2024-05-09,5,44619,Credit Card,Delivered
280,384,2,2024-10-26,5,35329,Credit Card,Returned
281,973,24,2024-11-16,1,12407,Credit Card,Cancelled
282,476,9,2024-11-01,2,27952,UPI,Delivered
283,524,50,2024-10-19,4,8347,UPI,Delivered
284,510,34,2024-02-22,4,10438,COD,Delivered
285,248,24,2024-04-01,5,48303,COD,Delivered
286,663,6,2024-12-05,5,27196,Credit Card,Cancelled
287,797,11,2024-03-26,1,21276,Credit Card,Returned
288,858,17,2024-12-18,3,42794,COD,Cancelled
289,32,33,2024-01-04,1,23470,Credit Card,Cancelled
290,337,39,2024-02-19,3,27216,Wallet,Cancelled
291,491,5,2024-06-23,5,28757,Wallet,Returned
292,990,22,2024-05-22,2,17497,Wallet,Cancelled
293,841,34,2024-08-17,1,23633,Wallet,Delivered
294,696,13,2024-09-21,5,46812,UPI,Returned
295,856,29,2024-01-17,4,43865,Credit Card,Delivered
296,119,47,2024-02-20,4,3782,COD,Cancelled
297,297,38,2024-06-24,5,25979,COD,Cancelled
298,925,32,2024-05-21,1,13800,Credit Card,Cancelled
299,722,38,2024-06-19,4,23569,COD,Returned
300,699,31,2024-10-08,5,20390,UPI,Returned
301,16,34,2024-06-26,5,4102,UPI,Returned
302,735,20,2024-04-27,1,15685,Credit Card,Cancelled
303,162,13,2024-09-23,2,13043,UPI,Returned
304,976,13,2024-04-03,2,43663,Credit Card,Returned
305,453,36,2024-09-08,1,43114,Wallet,Delivered
306,44,34,2024-02-19,4,24790,Wallet,Cancelled
307,478,5,2024-08-05,1,38149,UPI,Delivered
308,195,28,2024-06-19,3,34909,Wallet,Returned
309,520,10,2024-10-23,5,737,Wallet,Returned
310,737,33,2024-07-07,4,36944,UPI,Delivered
311,415,32,2024-02-23,1,13643,COD,Cancelled
312,16,4,2024-04-09,2,19092,Credit Card,Returned
313,36,13,2024-07-20,2,18654,Credit Card,Cancelled
314,338,25,2024-12-15,4,44999,Wallet,Returned
315,785,9,2024-09-04,4,24074,UPI,Cancelled
316,706,50,2024-02-13,1,46834,Credit Card,Returned
317,854,12,2024-12-16,1,10301,COD,Cancelled
318,541,8,2024-03-19,3,49476,Wallet,Returned
319,824,34,2024-12-19,1,20458,COD,Cancelled
320,152,33,2024-06-09,3,41257,Credit Card,Cancelled
321,693,39,2024-05-24,1,33448,UPI,Returned
322,665,36,2024-02-20,3,49553,Credit Card,Cancelled
323,59,36,2024-09-18,3,10595,Credit Card,Returned
324,93,47,2024-11-22,1,18224,UPI,Returned
325,63,18,2024-11-21,2,24429,Wallet,Cancelled
326,216,24,2024-05-17,5,49606,Wallet,Delivered
327,569,50,2024-10-03,4,21055,Credit Card,Cancelled
328,632,29,2024-04-23,4,26662,Wallet,Returned
329,491,6,2024-03-20,5,17068,COD,Returned
330,588,19,2024-05-08,4,26955,COD,Cancelled
331,145,16,2024-11-01,2,9112,Wallet,Returned
332,312,23,2024-02-29,4,49277,Wallet,Returned
333,20,9,2024-07-17,4,43868,Wallet,Cancelled
334,636,4,2024-09-30,4,19782,COD,Cancelled
335,970,40,2024-07-08,4,31304,UPI,Cancelled
336,533,35,2024-12-17,3,8871,COD,Cancelled
337,642,11,2024-05-03,3,32727,Wallet,Returned
338,827,37,2024-04-20,1,8762,Credit Card,Delivered
339,701,4,2024-11-09,2,47250,COD,Returned
340,584,32,2024-01-06,2,41115,Wallet,Returned
341,280,46,2024-03-02,1,30133,Credit Card,Cancelled
342,176,49,2024-12-07,4,23309,Wallet,Delivered
343,679,30,2024-07-25,4,36650,Wallet,Cancelled
344,132,17,2024-04-16,5,36337,UPI,Delivered
345,998,9,2024-05-02,5,27002,UPI,Returned
346,716,11,2024-11-17,1,24589,Wallet,Delivered
347,85,23,2024-10-19,2,48471,UPI,Returned
348,335,30,2024-03-18,2,42645,UPI,Returned
349,824,9,2024-12-22,5,34811,COD,Returned
350,554,30,2024-06-21,1,14613,UPI,Delivered
351,416,47,2024-02-16,5,42994,Credit Card,Cancelled
352,701,21,2024-12-01,3,8834,UPI,Cancelled
353,335,14,2024-12-12,3,29291,UPI,Cancelled
354,701,31,2024-12-10,5,22817,COD,Delivered
355,132,13,2024-11-02,2,9384,Wallet,Delivered
356,551,31,2024-02-17,4,28175,Credit Card,Returned
357,521,23,2024-12-13,4,1111,COD,Delivered
358,566,14,2024-07-12,3,2905,COD,Cancelled
359,724,38,2024-07-01,1,20946,COD,Cancelled
360,186,6,2024-12-20,4,43830,Credit Card,Returned
361,100,42,2024-12-26,1,28778,Wallet,Delivered
362,862,7,2024-06-09,4,19408,Credit Card,Delivered
363,46,2,2024-06-19,2,42179,Credit Card,Delivered
364,997,26,2024-03-21,3,8667,UPI,Delivered
365,834,45,2024-01-23,4,4347,COD,Returned
366,896,9,2024-05-09,2,17286,Wallet,Returned
367,668,10,2024-11-05,5,24028,Credit Card,Delivered
368,460,6,2024-06-29,3,28643,COD,Cancelled
369,947,42,2024-09-13,2,3919,UPI,Returned
370,594,13,2024-09-24,3,13638,Wallet,Cancelled
371,887,10,2024-06-04,2,34556,Credit Card,Delivered
372,123,24,2024-11-20,5,13116,COD,Delivered
373,681,31,2024-02-01,4,30596,Wallet,Returned
374,935,50,2024-09-28,2,32826,UPI,Delivered
375,898,7,2024-12-10,4,3613,Wallet,Cancelled
376,553,49,2024-08-04,2,49066,Wallet,Cancelled
377,519,15,2024-05-21,5,14122,UPI,Cancelled
378,255,28,2024-07-31,5,5250,COD,Returned
379,489,14,2024-11-02,3,38253,Wallet,Delivered
380,207,24,2024-01-29,5,37288,UPI,Returned
381,448,24,2024-01-02,4,931,Wallet,Cancelled
382,922,49,2024-02-09,3,8819,UPI,Cancelled
383,171,22,2024-03-26,2,29180,COD,Delivered
384,129,24,2024-09-30,5,31807,Credit Card,Returned
385,925,27,2024-03-08,3,34107,UPI,Delivered
386,11,36,2024-04-12,1,33414,Wallet,Cancelled
387,786,33,2024-01-15,4,11431,UPI,Returned
388,126,37,2024-07-12,3,19347,Wallet,Returned
389,870,45,2024-01-20,5,49430,Wallet,Returned
390,177,42,2024-05-26,3,48929,Credit Card,Cancelled
391,281,34,2024-09-27,4,41425,COD,Delivered
392,911,48,2024-05-21,1,22136,Credit Card,Cancelled
393,32,29,2024-05-27,2,26994,COD,Returned
394,49,31,2024-02-24,1,20498,Wallet,Returned
395,73,9,2024-04-26,4,2964,UPI,Returned
396,450,28,2024-05-28,3,21272,Wallet,Cancelled
397,492,14,2024-10-30,3,44919,UPI,Returned
398,410,6,2024-07-26,3,28757,UPI,Returned
399,808,46,2024-07-27,3,2885,COD,Delivered
400,127,17,2024-04-25,5,30403,UPI,Returned
401,316,24,2024-02-23,5,29641,COD,Returned
402,182,33,2024-07-23,3,16540,COD,Cancelled
403,115,31,2024-08-09,4,27876,Credit Card,Returned
404,261,39,2024-08-05,5,19229,COD,Cancelled
405,8,27,2024-09-27,5,20077,Wallet,Returned
406,526,5,2024-02-29,4,7051,Wallet,Cancelled
407,841,24,2024-05-03,5,19439,Wallet,Returned
408,759,37,2024-03-19,4,28123,Credit Card,Cancelled
409,330,39,2024-07-22,2,4307,Credit Card,Cancelled
410,806,38,2024-12-18,3,38065,COD,Cancelled
411,552,15,2024-01-06,4,39915,Wallet,Delivered
412,61,3,2024-01-06,1,31149,Credit Card,Delivered
413,865,9,2024-05-31,5,17660,COD,Returned
414,9,30,2024-07-23,2,22993,Credit Card,Returned
415,141,1,2024-09-09,2,30871,Wallet,Delivered
416,994,17,2024-04-30,3,1108,UPI,Delivered
417,973,4,2024-07-14,2,14507,UPI,Delivered
418,242,48,2024-08-14,5,42172,UPI,Delivered
419,937,41,2024-05-22,2,12661,COD,Cancelled
420,88,34,2024-01-08,1,45848,Wallet,Delivered
421,463,46,2024-08-03,1,29997,COD,Returned
422,683,41,2024-10-20,1,41626,Credit Card,Delivered
423,190,49,2024-04-09,2,10349,COD,Cancelled
424,883,8,2024-08-19,5,27292,Wallet,Cancelled
425,262,40,2024-08-29,4,10208,Credit Card,Returned
426,880,27,2024-01-03,4,23659,Credit Card,Cancelled
427,395,27,2024-01-31,5,27367,UPI,Delivered
428,398,17,2024-05-02,4,10931,Wallet,Delivered
429,116,1,2024-08-21,4,23269,Credit Card,Cancelled
430,30,17,2024-09-14,3,40787,UPI,Delivered
431,771,30,2024-02-15,4,10733,Credit Card,Delivered
432,300,32,2024-08-16,2,48802,Wallet,Cancelled
433,616,2,2024-12-10,2,3645,Wallet,Returned
434,939,6,2024-12-31,3,15698,UPI,Cancelled
435,693,16,2024-01-05,2,29272,UPI,Delivered
436,472,15,2024-08-14,1,48519,COD,Cancelled
437,858,41,2024-10-07,4,35869,COD,Cancelled
438,707,41,2024-12-09,3,13222,COD,Returned
439,3,43,2024-07-06,5,30318,UPI,Cancelled
440,242,19,2024-11-20,4,11818,UPI,Cancelled
441,845,41,2024-03-28,3,38030,Wallet,Cancelled
442,458,16,2024-08-10,2,595,Credit Card,Returned
443,492,23,2024-11-05,2,15518,COD,Delivered
444,411,11,2024-04-08,2,7479,COD,Cancelled
445,938,43,2024-10-20,2,20287,Credit Card,Cancelled
446,943,16,2024-05-27,4,29892,Wallet,Returned
447,301,9,2024-11-25,3,41026,Wallet,Cancelled
448,632,3,2024-11-06,5,19451,Wallet,Returned
449,138,26,2024-01-06,4,44501,Wallet,Returned
450,396,34,2024-01-11,4,17106,Credit Card,Returned
451,499,35,2024-02-15,1,26395,COD,Cancelled
452,83,49,2024-11-09,4,3030,Wallet,Returned
453,48,22,2024-05-22,3,30703,UPI,Returned
454,233,4,2024-11-15,4,40513,Credit Card,Delivered
455,833,39,2024-03-21,4,30082,COD,Delivered
456,717,46,2024-09-21,1,30028,Credit Card,Delivered
457,554,15,2024-06-03,1,15616,UPI,Cancelled
458,550,6,2024-05-18,2,48451,Credit Card,Delivered
459,386,9,2024-05-23,3,11463,UPI,Cancelled
460,855,19,2024-07-09,3,14817,UPI,Delivered
461,942,37,2024-08-03,1,23830,Credit Card,Cancelled
462,918,36,2024-09-10,1,44060,COD,Cancelled
463,111,1,2024-03-15,4,11599,Wallet,Delivered
464,56,25,2024-11-10,2,46718,Wallet,Delivered
465,89,6,2024-05-22,4,42822,Wallet,Delivered
466,877,33,2024-02-20,3,14563,COD,Returned
467,871,40,2024-10-28,5,34448,UPI,Returned
468,394,3,2024-05-12,3,45870,COD,Delivered
469,456,19,2024-08-12,5,3944,UPI,Cancelled
470,618,49,2024-11-17,1,46697,COD,Cancelled
471,551,20,2024-06-30,5,18403,Credit Card,Returned
472,333,15,2024-11-08,4,11751,Wallet,Cancelled
473,154,46,2024-04-28,5,27136,COD,Delivered
474,173,48,2024-03-28,5,6597,UPI,Cancelled
475,776,23,2024-02-23,2,10558,Credit Card,Delivered
476,190,14,2024-05-15,1,32637,Credit Card,Cancelled
477,328,13,2024-03-13,3,26697,UPI,Delivered
478,395,40,2024-01-24,4,9353,UPI,Cancelled
479,465,18,2024-05-05,1,4574,COD,Delivered
480,369,50,2024-08-25,4,6052,Wallet,Returned
481,96,50,2024-02-16,2,47722,COD,Returned
482,645,40,2024-04-20,5,32949,Wallet,Cancelled
483,339,13,2024-09-17,4,14623,UPI,Returned
484,508,41,2024-11-06,1,9685,Wallet,Cancelled
485,715,1,2024-05-25,2,34242,COD,Delivered
486,176,3,2024-12-25,1,34959,COD,Delivered
487,456,45,2024-12-12,2,36271,Credit Card,Cancelled
488,443,37,2024-08-03,4,33108,UPI,Returned
489,207,29,2024-10-18,2,7455,Credit Card,Delivered
490,759,43,2024-05-16,1,1666,UPI,Delivered
491,909,23,2024-12-01,3,17218,UPI,Delivered
492,591,48,2024-09-16,4,48028,Credit Card,Returned
493,997,35,2024-01-22,3,44211,UPI,Delivered
494,197,21,2024-01-08,2,15644,UPI,Delivered
495,932,14,2024-05-10,1,17554,UPI,Returned
496,761,25,2024-05-18,3,34930,COD,Delivered
497,824,39,2024-04-25,5,12545,COD,Delivered
498,817,16,2024-08-04,3,2081,Wallet,Cancelled
499,332,28,2024-12-28,2,17774,Wallet,Cancelled
500,69,19,2024-01-27,1,32369,Wallet,Returned
501,298,14,2024-06-15,1,28204,Credit Card,Delivered
502,174,12,2024-06-02,5,33115,COD,Cancelled
503,904,35,2024-04-18,1,13216,COD,Cancelled
504,609,49,2024-02-08,2,41542,Wallet,Returned
505,802,37,2024-03-08,3,23200,Credit Card,Cancelled
