order_item_id,order_id,product_id,quantity,unit_price,total_price,discount,return_id,return_reason,return_date,refund_amount,status
73,28,151,2,9774,19548,26,34,Late Delivery,2025-11-04,17707.185938035153,Pending
14838,4895,352,2,8327,16654,47,35,Other,2025-08-21,12114.483275803766,Pending
11385,3753,352,2,8327,16654,46,36,Other,2025-05-17,10402.348600161406,Pending
7093,2353,156,2,1080,2160,37,37,Other,2025-08-21,2073.954665492938,Pending
5300,1758,413,1,7682,7682,36,38,Other,2025-03-01,6382.31735820195,Processed
8133,2689,189,1,7671,7671,18,39,Late Delivery,2025-08-19,4901.720653219001,Pending
3264,1088,491,1,7872,7872,5,40,Late Delivery,2025-01-03,7060.2435509253755,Processed
8002,2647,108,1,1845,1845,17,41,Other,2025-03-04,959.3507937827787,Pending
8783,2899,397,1,9923,9923,8,42,Late Delivery,2025-02-02,5295.7035073439065,Processed
11896,3922,326,1,8014,8014,48,43,Other,2025-05-19,5415.831781154027,Processed
3684,1231,291,1,2599,2599,29,44,Wrong Item,2025-08-28,1921.55798721028,Pending
15100,4987,170,1,5243,5243,9,45,Wrong Item,2025-09-29,3822.385584864029,Pending
2991,995,25,2,7208,14416,18,46,Other,2025-03-26,9488.435297890215,Pending
8510,2804,213,2,1327,2654,27,47,Wrong Item,2025-01-24,1891.8368997337323,Processed
14333,4728,405,2,7803,15606,7,48,Wrong Item,2025-05-20,14803.456446844473,Processed
8476,2793,155,1,3414,3414,29,49,Other,2025-07-24,2046.2115165629996,Pending
4365,1454,206,2,6328,12656,38,50,Wrong Item,2025-06-27,11357.142544555236,Pending
5862,1948,315,2,5375,10750,39,51,Wrong Item,2025-07-07,6477.955447585995,Processed
9498,3141,58,1,9175,9175,40,52,Late Delivery,2025-05-03,6714.56097019441,Pending
13029,4303,294,2,2813,5626,5,53,Other,2025-08-16,3415.7564646842925,Processed
13020,4301,252,2,2663,5326,39,54,Other,2025-09-11,2798.7847307023058,Pending
5969,1980,357,1,1901,1901,35,55,Damaged,2025-09-22,1638.2311662553413,Pending
4965,1644,10,2,7504,15008,46,56,Late Delivery,2025-04-08,8021.340678037795,Processed
3353,1116,266,2,1413,2826,16,57,Late Delivery,2025-06-08,1921.240666189151,Pending
12648,4179,297,2,1490,2980,48,58,Late Delivery,2025-05-15,2648.604352297315,Pending
2630,865,368,2,2023,4046,21,59,Damaged,2025-07-07,3340.1679119878995,Pending
154,55,232,2,4005,8010,12,60,Late Delivery,2025-01-08,7758.905725128273,Processed
7909,2616,336,1,2077,2077,32,61,Other,2025-08-13,1688.6470660196114,Pending
2322,763,324,2,9564,19128,31,62,Damaged,2025-04-13,11351.91848200974,Pending
15144,5000,223,1,3994,3994,33,63,Damaged,2025-06-22,2260.561247796827,Processed
8278,2732,149,1,6253,6253,39,64,Other,2025-01-31,5364.202185146744,Pending
12706,4200,498,1,5376,5376,12,65,Other,2025-09-15,3678.4569480692944,Pending
4461,1482,412,1,2577,2577,43,66,Wrong Item,2025-10-16,2170.0610599655006,Processed
14135,4660,258,1,6742,6742,26,67,Late Delivery,2025-01-25,5462.990045718028,Pending
12275,4047,189,1,7671,7671,44,68,Late Delivery,2025-07-09,3970.544647225239,Pending
12443,4110,435,1,1446,1446,27,69,Other,2025-06-05,1401.343327524084,Pending
14431,4760,478,1,7111,7111,27,70,Late Delivery,2025-05-16,4428.054409929327,Pending
14134,4660,453,1,9440,9440,20,71,Other,2025-10-18,5257.024699624652,Processed
14843,4898,46,2,2736,5472,6,72,Damaged,2025-06-28,4754.307534892539,Pending
12492,4127,181,1,575,575,24,73,Damaged,2025-05-18,488.3735035272218,Pending
13773,4541,439,1,8872,8872,18,74,Late Delivery,2025-01-01,8299.749055737702,Pending
4016,1339,189,2,7671,15342,21,75,Other,2025-03-16,11233.655885027976,Pending
3217,1074,17,2,3755,7510,32,76,Other,2025-09-07,7290.863564870301,Processed
3370,1121,247,1,5807,5807,1,77,Late Delivery,2025-07-30,3249.5758513233704,Processed
1776,592,378,2,9971,19942,22,78,Other,2025-10-17,14852.090490412516,Pending
11714,3860,16,2,6789,13578,3,79,Wrong Item,2025-03-19,13345.02864203817,Pending
14813,4885,445,2,2069,4138,24,80,Late Delivery,2025-04-25,2651.2176282820033,Pending
6072,2015,300,2,3824,7648,45,81,Wrong Item,2025-02-03,7272.9539508523285,Processed
4384,1459,366,2,3411,6822,25,82,Other,2025-04-18,5094.929513680038,Processed
6489,2153,288,1,6709,6709,0,83,Damaged,2025-04-03,4621.814164077658,Pending
3410,1132,181,2,575,1150,27,84,Damaged,2025-11-20,1025.7811640506704,Pending
14014,4624,211,2,8936,17872,47,85,Late Delivery,2025-02-26,11111.878002873991,Pending
11016,3631,93,1,8858,8858,19,86,Damaged,2025-03-10,8457.56284363905,Processed
5148,1704,265,1,445,445,30,87,Damaged,2025-09-18,335.9270379648051,Pending
2683,883,383,1,3997,3997,13,88,Wrong Item,2025-04-09,3485.932757577396,Processed
11245,3705,373,1,5255,5255,21,89,Other,2025-07-10,5181.5281594898215,Pending
5103,1690,63,1,226,226,3,90,Damaged,2025-05-20,167.0518094612121,Pending
1818,604,422,1,2063,2063,18,91,Late Delivery,2025-01-18,1731.1624613097931,Pending
13989,4615,371,1,8364,8364,6,92,Late Delivery,2025-04-10,7720.19333635726,Processed
10924,3603,493,1,674,674,44,93,Damaged,2025-02-19,572.133022145235,Pending
2436,801,65,2,1575,3150,31,94,Wrong Item,2025-08-04,2471.916571862679,Pending
10993,3622,276,2,5653,11306,38,95,Other,2025-04-22,10489.207532073955,Processed
5093,1687,248,2,5140,10280,10,96,Wrong Item,2025-05-17,6393.166182181859,Pending
9544,3153,396,2,2758,5516,16,97,Other,2025-07-06,5455.705143571418,Processed
14519,4791,328,2,1982,3964,2,98,Late Delivery,2025-05-27,3819.2257531531995,Pending
15035,4965,404,2,5532,11064,11,99,Late Delivery,2025-04-11,10100.912729970127,Processed
10917,3602,256,1,8015,8015,39,100,Late Delivery,2025-09-16,4598.406108133386,Processed
686,232,50,2,7706,15412,0,101,Wrong Item,2025-11-11,11064.610610747597,Processed
3946,1318,457,1,4081,4081,13,102,Other,2025-11-19,3430.3760005734807,Pending
737,250,235,1,931,931,2,103,Other,2025-07-17,866.8465011416902,Processed
11708,3857,348,2,9864,19728,21,104,Late Delivery,2025-01-24,10615.207623865157,Pending
5223,1729,65,1,1575,1575,7,105,Wrong Item,2025-03-07,838.617231255929,Processed
14338,4729,437,2,8765,17530,17,106,Late Delivery,2025-03-31,16354.506205652899,Pending
9464,3131,255,1,6915,6915,0,107,Wrong Item,2025-04-30,5334.023184552797,Processed
6199,2054,157,1,8682,8682,26,108,Wrong Item,2025-05-09,7584.139439469481,Pending
7060,2340,254,2,8080,16160,6,109,Late Delivery,2025-08-25,13807.425163142829,Processed
13083,4319,174,1,5394,5394,45,110,Other,2025-09-02,4331.788350708808,Processed
7699,2548,475,1,2596,2596,7,111,Wrong Item,2025-03-30,1492.5708443385786,Pending
13259,4377,239,2,2008,4016,30,112,Other,2025-11-17,2796.3704680563806,Processed
441,153,429,1,9556,9556,30,113,Other,2025-03-11,8138.138188074432,Pending
2820,932,14,2,6673,13346,7,114,Damaged,2025-10-22,8625.087642177768,Processed
7088,2351,150,1,179,179,33,115,Wrong Item,2025-06-19,153.39549269473827,Pending
3175,1060,95,1,1920,1920,49,116,Damaged,2025-08-25,1574.2290841838862,Pending
7350,2435,125,2,4484,8968,15,117,Wrong Item,2025-01-22,8410.450729620607,Processed
1163,389,203,1,8865,8865,7,118,Damaged,2025-01-04,7985.300815371688,Pending
5383,1785,468,2,1895,3790,2,119,Damaged,2025-06-23,2036.1989283210462,Pending
8832,2914,340,1,6534,6534,26,120,Other,2025-11-15,5971.915116127162,Processed
5605,1858,438,1,9722,9722,43,121,Other,2025-05-30,5150.862338963833,Pending
12029,3966,257,1,1515,1515,37,122,Damaged,2025-07-31,879.8517521859586,Pending
4368,1455,498,1,5376,5376,48,123,Other,2025-09-02,4059.900179700802,Pending
7018,2326,121,1,9357,9357,37,124,Late Delivery,2025-11-05,7427.752518299944,Processed
4969,1646,237,1,3798,3798,28,125,Damaged,2025-09-15,2125.0919947095,Processed
13125,4333,88,2,1892,3784,19,126,Late Delivery,2025-07-25,2428.386391317552,Pending
14988,4946,260,2,2313,4626,44,127,Wrong Item,2025-10-30,3241.542897430128,Pending
11320,3731,256,2,8015,16030,14,128,Late Delivery,2025-01-31,15138.873051548815,Pending
6284,2080,87,1,5931,5931,18,129,Late Delivery,2025-04-07,5379.386857910631,Processed
2054,676,354,1,6624,6624,33,130,Other,2025-01-03,3349.027955651704,Pending
2019,665,220,2,792,1584,20,131,Late Delivery,2025-04-12,922.336060103744,Processed
31,10,139,2,6678,13356,16,132,Other,2025-04-03,9742.27058631498,Processed
11536,3804,98,2,8801,17602,14,133,Other,2025-10-09,12653.507191986771,Pending
8132,2689,100,1,2808,2808,45,134,Damaged,2025-07-29,2734.4707809977117,Processed
7526,2488,316,2,2025,4050,13,135,Wrong Item,2025-10-19,3303.9465041713843,Processed
11528,3801,432,1,5619,5619,34,136,Wrong Item,2025-09-29,5550.660575705586,Processed
3437,1141,268,2,8452,16904,19,137,Late Delivery,2025-02-04,8634.100395321871,Pending
13260,4378,67,1,1386,1386,43,138,Wrong Item,2025-04-13,1184.3517005835267,Processed
10110,3344,459,2,3610,7220,44,139,Damaged,2025-11-25,4013.980943793947,Pending
12660,4184,208,1,9063,9063,42,140,Other,2025-01-20,8878.292922101005,Pending
9251,3050,63,1,226,226,10,141,Late Delivery,2025-10-25,194.12510079420463,Pending
5893,1956,395,1,4317,4317,30,142,Late Delivery,2025-06-02,2824.860647017696,Pending
3070,1023,373,1,5255,5255,21,143,Late Delivery,2025-03-09,2641.7507011488833,Pending
6683,2223,403,1,5297,5297,42,144,Damaged,2025-08-10,4971.326297029269,Pending
5878,1951,96,1,7924,7924,4,145,Damaged,2025-10-14,6064.80876040492,Pending
2186,719,43,1,2257,2257,3,146,Wrong Item,2025-02-28,1764.5444704149322,Processed
639,217,241,2,6358,12716,49,147,Wrong Item,2025-06-22,6847.823855129847,Pending
1567,524,142,1,4451,4451,47,148,Late Delivery,2025-10-13,2391.8588836898675,Pending
4089,1368,391,2,7357,14714,47,149,Damaged,2025-06-26,8944.694179775996,Pending
5907,1958,66,2,3514,7028,2,150,Late Delivery,2025-06-21,5871.853476511317,Processed
14367,4740,28,1,3348,3348,23,151,Wrong Item,2025-11-08,2671.4983202058334,Processed
9562,3159,392,2,1069,2138,41,152,Late Delivery,2025-06-26,2068.4468194934266,Pending
2097,693,279,2,8933,17866,9,153,Damaged,2025-05-24,16311.240526608013,Pending
11907,3925,118,2,3022,6044,15,154,Wrong Item,2025-06-02,4177.612855739704,Processed
12541,4143,443,1,1814,1814,29,155,Damaged,2025-05-06,1149.8704386467866,Pending
12993,4293,174,1,5394,5394,21,156,Other,2025-05-13,5225.458914233216,Pending
11276,3718,312,2,1017,2034,2,157,Wrong Item,2025-01-13,1617.1434823085442,Pending
382,133,495,2,7826,15652,23,158,Wrong Item,2025-07-29,10367.313075603042,Pending
11780,3880,232,1,4005,4005,5,159,Damaged,2025-05-17,3877.8461329243096,Processed
10764,3555,482,1,4129,4129,40,160,Damaged,2025-09-23,2744.1139682764247,Processed
3618,1208,412,2,2577,5154,28,161,Wrong Item,2025-02-18,3274.6370530077675,Processed
1855,615,474,2,6848,13696,6,162,Damaged,2025-05-17,7394.856740159963,Processed
7289,2418,223,2,3994,7988,49,163,Damaged,2025-06-05,7647.926628091555,Pending
12915,4270,59,1,3707,3707,13,164,Wrong Item,2025-02-19,3129.1498439287084,Processed
14797,4880,127,1,803,803,15,165,Late Delivery,2025-06-06,702.7692220992519,Processed
8534,2811,377,1,3078,3078,38,166,Wrong Item,2025-02-26,2454.9066988369423,Pending
11333,3737,59,2,3707,7414,9,167,Damaged,2025-08-10,5564.03835653908,Pending
5194,1719,277,2,1812,3624,49,168,Other,2025-03-20,2458.8472328724433,Pending
8662,2851,33,1,2531,2531,11,169,Wrong Item,2025-07-20,1758.759843041193,Processed
9404,3109,313,2,2105,4210,35,170,Wrong Item,2025-08-31,3146.9900391454244,Processed
13713,4525,230,2,1378,2756,27,171,Damaged,2025-08-01,2099.5080021777153,Pending
9236,3047,340,1,6534,6534,17,172,Late Delivery,2025-09-07,5645.132322138118,Processed
4269,1425,330,2,6169,12338,18,173,Late Delivery,2025-11-06,7073.059158397002,Pending
10914,3601,352,1,8327,8327,40,174,Late Delivery,2025-11-29,4740.474678257358,Pending
3079,1026,149,2,6253,12506,33,175,Late Delivery,2025-02-23,10408.17171167192,Processed
3062,1021,42,1,3798,3798,18,176,Late Delivery,2025-09-12,2113.746190224029,Pending
14987,4946,430,2,8207,16414,19,177,Late Delivery,2025-02-09,8901.560452849151,Pending
12133,3999,316,2,2025,4050,48,178,Other,2025-08-31,2292.011980311921,Processed
6056,2010,260,2,2313,4626,2,179,Other,2025-02-08,3236.0711703559314,Processed
12384,4088,201,1,1906,1906,28,180,Late Delivery,2025-08-04,1745.2104764583398,Pending
3724,1245,306,2,427,854,21,181,Late Delivery,2025-09-07,743.0535588313313,Pending
8043,2661,245,2,6825,13650,46,182,Other,2025-05-02,8980.83372966321,Processed
11921,3929,232,1,4005,4005,22,183,Damaged,2025-04-20,2013.8233567155503,Pending
8625,2839,125,1,4484,4484,42,184,Damaged,2025-09-29,3798.748604358971,Processed
1309,435,6,2,9079,18158,2,185,Late Delivery,2025-04-03,16557.67333729661,Processed
5427,1800,211,2,8936,17872,8,186,Other,2025-11-05,10011.625433908102,Processed
5617,1865,193,2,2706,5412,44,187,Late Delivery,2025-05-27,4439.374056842965,Pending
10948,3610,430,2,8207,16414,7,188,Wrong Item,2025-05-09,12458.825727515361,Pending
2161,711,304,1,5702,5702,17,189,Wrong Item,2025-03-12,3102.0150216624374,Pending
2032,670,230,1,1378,1378,35,190,Damaged,2025-04-30,1000.0797986288925,Pending
14883,4911,364,1,5032,5032,23,191,Damaged,2025-02-23,4003.967350711097,Pending
14611,4820,109,1,7744,7744,11,192,Other,2025-11-17,6523.879483316159,Processed
7548,2496,372,2,1416,2832,0,193,Late Delivery,2025-07-30,2139.914540941855,Pending
1324,440,171,2,4878,9756,36,194,Late Delivery,2025-04-25,9253.387754619513,Processed
14071,4642,226,2,6844,13688,10,195,Wrong Item,2025-10-14,12257.252495065699,Pending
13764,4538,388,2,2920,5840,8,196,Damaged,2025-04-21,4672.08116840545,Pending
9789,3235,424,1,8160,8160,37,197,Wrong Item,2025-08-14,4605.181246980484,Pending
10009,3311,284,2,1327,2654,3,198,Damaged,2025-07-12,1923.8269545977894,Pending
2512,826,474,1,6848,6848,2,199,Late Delivery,2025-10-17,5744.931313869876,Pending
10384,3430,248,1,5140,5140,28,200,Late Delivery,2025-11-10,3697.368202718454,Processed
1687,563,322,1,8465,8465,47,201,Wrong Item,2025-05-20,6996.253992968139,Processed
10056,3328,320,1,4686,4686,31,202,Other,2025-06-14,4046.1963499995495,Pending
7927,2620,249,2,3076,6152,38,203,Wrong Item,2025-10-16,4125.215052306146,Pending
7401,2453,210,2,2955,5910,18,204,Damaged,2025-08-06,4697.8111701224925,Pending
11879,3916,62,2,7260,14520,47,205,Late Delivery,2025-03-26,8992.461343504989,Pending
6283,2080,121,2,9357,18714,24,206,Wrong Item,2025-09-26,9677.189104096336,Pending
7154,2376,130,2,8697,17394,14,207,Wrong Item,2025-04-20,10581.090662677829,Pending
10619,3511,241,2,6358,12716,15,208,Damaged,2025-07-05,11917.834492828435,Processed
2735,902,167,2,7276,14552,29,209,Wrong Item,2025-07-22,9932.175800739593,Processed
1673,557,260,1,2313,2313,28,210,Wrong Item,2025-03-16,2069.277880977258,Processed
7108,2358,484,1,966,966,1,211,Wrong Item,2025-06-15,886.1287073994962,Processed
1747,582,142,1,4451,4451,44,212,Damaged,2025-07-28,2807.6946252545545,Processed
11929,3931,491,1,7872,7872,24,213,Wrong Item,2025-04-21,7547.622922415039,Pending
7055,2338,150,2,179,358,36,214,Wrong Item,2025-12-01,303.35101135983905,Processed
7073,2345,120,2,458,916,29,215,Late Delivery,2025-10-28,489.7734500252693,Processed
12414,4101,153,2,6657,13314,37,216,Damaged,2025-11-22,7726.661589388623,Pending
998,337,415,1,9335,9335,48,217,Late Delivery,2025-02-18,6044.747151857116,Pending
8269,2728,158,1,3155,3155,26,218,Wrong Item,2025-07-27,1625.5583762773383,Pending
9803,3239,200,1,994,994,12,219,Damaged,2025-03-08,887.9006463027156,Processed
13846,4565,358,1,876,876,15,220,Other,2025-02-01,862.1715300118008,Pending
14865,4906,199,1,9352,9352,1,221,Late Delivery,2025-11-13,6537.146964096692,Processed
7516,2485,232,1,4005,4005,22,222,Wrong Item,2025-08-28,3587.934879891626,Pending
10151,3356,413,2,7682,15364,12,223,Late Delivery,2025-01-09,13237.885312197142,Pending
12155,4006,124,1,4127,4127,32,224,Wrong Item,2025-11-16,3463.1168317649945,Pending
360,127,232,1,4005,4005,10,225,Wrong Item,2025-01-21,3098.585410203203,Processed
7457,2468,82,2,9229,18458,38,226,Other,2025-05-31,17835.157728233353,Pending
14131,4659,199,1,9352,9352,46,227,Wrong Item,2025-03-07,5371.897185780718,Pending
9147,3018,317,2,3598,7196,3,228,Late Delivery,2025-06-19,5339.501080732168,Pending
9089,2999,56,1,3520,3520,8,229,Late Delivery,2025-05-16,2703.9692533458865,Pending
12608,4165,308,1,9878,9878,40,230,Late Delivery,2025-01-14,6071.623770432766,Processed
14314,4722,43,2,2257,4514,41,231,Damaged,2025-09-02,3967.9877963085482,Pending
7245,2406,39,1,569,569,31,232,Wrong Item,2025-11-26,402.05625153643365,Processed
398,139,59,1,3707,3707,9,233,Other,2025-01-13,1989.6448477316417,Pending
5753,1911,208,1,9063,9063,49,234,Damaged,2025-06-08,4608.231308789599,Processed
82,32,441,2,5608,11216,48,235,Late Delivery,2025-01-02,6728.735313300341,Processed
13158,4341,442,1,5784,5784,41,236,Wrong Item,2025-06-29,5036.646529087326,Pending
10792,3562,381,2,1186,2372,5,237,Other,2025-05-20,1897.3425649553162,Pending
13358,4408,483,2,5769,11538,40,238,Wrong Item,2025-04-08,6794.344009289066,Pending
6993,2319,37,2,5974,11948,20,239,Other,2025-06-26,11341.86537573164,Processed
6784,2258,52,2,4381,8762,39,240,Late Delivery,2025-02-17,8221.433844981626,Processed
1966,648,27,1,4304,4304,33,241,Damaged,2025-05-11,2881.669737221838,Pending
552,191,271,1,9332,9332,48,242,Late Delivery,2025-01-07,4699.127021409184,Processed
9758,3227,46,2,2736,5472,19,243,Damaged,2025-03-23,4609.984573191815,Processed
13812,4552,168,1,2126,2126,36,244,Wrong Item,2025-01-02,1811.607439971433,Processed
14213,4684,457,2,4081,8162,41,245,Damaged,2025-05-03,5750.589144940059,Pending
3491,1158,250,2,4301,8602,28,246,Wrong Item,2025-02-15,6212.429523192707,Processed
332,115,397,1,9923,9923,12,247,Other,2025-02-03,6115.3566395256685,Processed
3427,1137,304,2,5702,11404,23,248,Late Delivery,2025-11-20,7003.052618478201,Pending
9189,3033,14,1,6673,6673,9,249,Wrong Item,2025-07-04,3751.1645381044855,Pending
12761,4215,387,1,9763,9763,1,250,Wrong Item,2025-11-09,7240.725112367176,Processed
11014,3630,486,2,7644,15288,1,251,Wrong Item,2025-02-16,9025.055407782935,Processed
871,294,264,2,2992,5984,42,252,Other,2025-02-24,5005.200555621197,Processed
5294,1755,312,1,1017,1017,25,253,Late Delivery,2025-05-08,624.4144924749605,Pending
13899,4585,359,1,134,134,41,254,Damaged,2025-09-04,132.60759487927604,Processed
15145,5000,333,1,4948,4948,41,255,Late Delivery,2025-02-01,4700.116943947888,Pending
11070,3647,499,2,7189,14378,36,256,Wrong Item,2025-06-13,7916.658042437115,Pending
8365,2760,421,1,1837,1837,8,257,Late Delivery,2025-08-02,1280.282586554746,Pending
997,336,321,1,7163,7163,15,258,Late Delivery,2025-10-23,6619.445304557459,Pending
3553,1182,127,2,803,1606,14,259,Other,2025-08-01,1299.2545168195036,Processed
9418,3116,221,1,3953,3953,21,260,Other,2025-05-08,2251.562501029404,Pending
5838,1941,51,1,4970,4970,35,261,Other,2025-03-20,2595.9480569975553,Pending
14162,4668,172,1,8206,8206,17,262,Other,2025-01-29,7169.690292450708,Pending
3312,1105,182,1,3502,3502,34,263,Damaged,2025-07-02,3497.4757935602993,Pending
8701,2868,38,2,7964,15928,5,264,Damaged,2025-06-28,14086.11198499256,Processed
1607,537,343,2,6618,13236,18,265,Late Delivery,2025-03-24,7078.858803028829,Pending
4268,1424,273,2,9304,18608,20,266,Other,2025-01-22,14623.681761585047,Pending
8710,2872,429,2,9556,19112,39,267,Late Delivery,2025-06-09,16107.05031251022,Processed
14816,4886,467,2,989,1978,28,268,Late Delivery,2025-10-08,1064.035875936808,Pending
12903,4264,383,2,3997,7994,2,269,Other,2025-09-10,4606.819322730008,Processed
6298,2083,448,1,2566,2566,9,270,Late Delivery,2025-09-24,2354.3175034439205,Pending
13290,4387,220,1,792,792,21,271,Damaged,2025-02-07,687.6639534721362,Pending
6749,2246,428,1,4566,4566,9,272,Late Delivery,2025-07-17,2872.1634027942414,Pending
8848,2920,452,2,200,400,20,273,Other,2025-08-09,348.0065345796863,Processed
4671,1552,440,1,632,632,34,274,Other,2025-03-28,598.96009008788,Processed
776,266,153,1,6657,6657,20,275,Other,2025-02-04,4567.08827053231,Processed
1702,568,30,2,7952,15904,9,276,Damaged,2025-06-24,11662.832091643057,Processed
12494,4128,71,2,1979,3958,14,277,Late Delivery,2025-04-29,3754.5767210167896,Processed
9160,3024,38,1,7964,7964,11,278,Wrong Item,2025-08-14,6742.640822045091,Pending
2133,704,37,1,5974,5974,22,279,Wrong Item,2025-05-21,3436.3932656508705,Pending
2997,997,440,2,632,1264,35,280,Wrong Item,2025-02-25,1044.1113060519438,Processed
1617,540,109,1,7744,7744,38,281,Wrong Item,2025-02-27,4531.2044346252615,Processed
6567,2183,325,2,4425,8850,32,282,Late Delivery,2025-02-27,5939.619766527617,Processed
6277,2078,348,2,9864,19728,7,283,Late Delivery,2025-01-16,14264.748216624326,Pending
6794,2261,329,1,6394,6394,30,284,Wrong Item,2025-04-23,3689.433281681054,Pending
1663,553,397,2,9923,19846,3,285,Other,2025-10-30,17777.92603975116,Processed
3755,1255,474,1,6848,6848,9,286,Other,2025-05-15,5998.20461099707,Processed
2475,816,492,1,2978,2978,39,287,Damaged,2025-11-03,2517.420354504611,Processed
12568,4153,115,1,901,901,12,288,Other,2025-09-12,881.4252604614138,Processed
14632,4827,155,2,3414,6828,28,289,Damaged,2025-09-28,5945.280301951946,Processed
4847,1607,209,2,8256,16512,0,290,Wrong Item,2025-09-14,11794.146321087812,Processed
12679,4190,488,1,5080,5080,14,291,Late Delivery,2025-11-07,2557.7300656933835,Pending
5037,1671,381,2,1186,2372,21,292,Wrong Item,2025-03-31,2191.9124711562504,Pending
8396,2769,424,2,8160,16320,33,293,Damaged,2025-01-08,12016.823933821395,Pending
951,323,467,2,989,1978,39,294,Wrong Item,2025-11-23,1103.2335712958009,Processed
11652,3839,486,2,7644,15288,40,295,Damaged,2025-09-19,13815.234571313908,Pending
5550,1840,120,2,458,916,30,296,Wrong Item,2025-11-02,666.169644079383,Pending
5622,1867,388,2,2920,5840,31,297,Wrong Item,2025-05-27,3995.557581170349,Processed
14533,4796,321,1,7163,7163,39,298,Damaged,2025-08-07,4954.070824945238,Pending
7842,2593,210,2,2955,5910,33,299,Wrong Item,2025-02-18,5767.442320322052,Processed
14155,4666,78,2,9614,19228,32,300,Late Delivery,2025-07-21,18571.101747634475,Pending
443,153,382,2,1765,3530,42,301,Damaged,2025-04-14,2619.129133365985,Processed
8048,2662,100,2,2808,5616,25,302,Late Delivery,2025-01-25,5024.17799993379,Processed
14408,4754,46,2,2736,5472,43,303,Wrong Item,2025-02-15,2773.0336973684466,Pending
10916,3601,423,2,9274,18548,15,304,Other,2025-04-23,15043.94581329107,Pending
14842,4898,323,1,3539,3539,11,305,Damaged,2025-02-14,3036.1601208160537,Pending
1333,443,89,2,1967,3934,40,306,Late Delivery,2025-01-01,3565.647238149692,Processed
5507,1827,14,1,6673,6673,17,307,Wrong Item,2025-11-25,5497.4673601228915,Processed
11041,3638,31,1,6864,6864,49,308,Other,2025-10-30,4216.517250024859,Processed
2340,770,218,2,5588,11176,40,309,Damaged,2025-09-14,7063.815025743745,Processed
9095,3001,420,2,2612,5224,26,310,Wrong Item,2025-01-30,4133.3271075712055,Pending
8110,2682,16,2,6789,13578,47,311,Wrong Item,2025-05-13,11847.585437964337,Processed
10946,3610,248,1,5140,5140,47,312,Wrong Item,2025-01-20,4640.315444360715,Processed
