order_date,total_orders,total_items_sold,total_revenue,total_discounts,total_returns,average_order_value
2024-02-14,13,38,301731,2820,159,23210.076923076922
2024-02-15,17,49,435255,4237,40,25603.235294117647
2024-02-16,22,78,653134,4002,27,29687.909090909092
2024-02-17,15,43,371854,1458,122,24790.266666666666
2024-02-18,14,38,390316,2835,159,27879.714285714286
2024-02-19,13,46,277890,3879,172,21376.153846153848
2024-02-20,18,52,472924,4711,157,26273.555555555555
2024-02-21,12,37,323068,1247,112,26922.333333333332
2024-02-22,12,43,276643,4212,165,23053.583333333332
2024-02-23,13,40,365433,206,32,28110.23076923077
2024-02-24,10,28,216290,2092,107,21629.0
2024-02-25,12,39,252743,2596,112,21061.916666666668
2024-02-26,13,40,371984,1723,89,28614.153846153848
2024-02-27,14,43,269110,4165,111,19222.14285714286
2024-02-28,7,18,160256,1608,127,22893.714285714286
2024-02-29,11,39,264771,4108,79,24070.090909090908
2024-03-01,9,26,197621,3790,192,21957.88888888889
2024-03-02,13,45,281175,74,65,21628.846153846152
2024-03-03,17,53,388873,343,46,22874.882352941175
2024-03-04,8,16,176824,3167,132,22103.0
2024-03-05,15,41,437981,96,73,29198.733333333334
2024-03-06,19,55,502943,2178,136,26470.684210526317
2024-03-07,13,37,361274,124,30,27790.30769230769
2024-03-08,16,51,351155,3322,118,21947.1875
2024-03-09,11,40,262441,1934,143,23858.272727272728
2024-03-10,13,42,320770,300,189,24674.615384615383
2024-03-11,13,35,324476,922,40,24959.69230769231
2024-03-12,15,40,408608,538,162,27240.533333333333
2024-03-13,14,45,468004,2797,65,33428.857142857145
2024-03-14,14,28,397186,1435,38,28370.428571428572
2024-03-15,8,27,208293,4034,10,26036.625
2024-03-16,11,30,238252,4209,5,21659.272727272728
2024-03-17,8,30,211087,4970,88,26385.875
2024-03-18,11,31,256133,977,14,23284.81818181818
2024-03-19,11,34,255877,3218,163,23261.545454545456
2024-03-20,13,34,354348,3882,128,27257.53846153846
2024-03-21,17,46,397340,1818,69,23372.941176470587
2024-03-22,15,43,370843,3136,92,24722.866666666665
2024-03-23,18,49,580919,3167,137,32273.277777777777
2024-03-24,16,50,356924,3711,127,22307.75
2024-03-25,8,25,155116,2539,146,19389.5
2024-03-26,20,57,504568,382,92,25228.4
2024-03-27,11,42,234825,2370,176,21347.727272727272
2024-03-28,24,69,625762,1613,145,26073.416666666668
2024-03-29,11,41,378558,3589,164,34414.36363636364
2024-03-30,10,29,311089,2616,65,31108.9
2024-03-31,14,44,289218,1060,27,20658.428571428572
2024-04-01,14,39,418757,3629,60,29911.214285714286
2024-04-02,16,50,392826,2872,162,24551.625
2024-04-03,11,24,314637,2982,119,28603.363636363636
2024-04-04,15,38,324405,1279,85,21627.0
2024-04-05,14,46,373078,4552,122,26648.428571428572
2024-04-06,15,47,290848,3103,55,19389.866666666665
2024-04-07,10,31,236275,864,106,23627.5
2024-04-08,17,50,359870,3385,119,21168.823529411766
2024-04-09,16,47,336307,1063,27,21019.1875
2024-04-10,16,45,407265,3428,50,25454.0625
2024-04-11,13,38,357349,2644,175,27488.384615384617
2024-04-12,15,39,455198,336,68,30346.533333333333
2024-04-13,12,32,250506,4763,127,20875.5
2024-04-14,13,46,321489,659,82,24729.923076923078
2024-04-15,14,54,351279,3823,143,25091.35714285714
2024-04-16,13,38,296560,986,6,22812.30769230769
2024-04-17,13,35,339361,2786,99,26104.69230769231
2024-04-18,15,35,401811,3229,3,26787.4
2024-04-19,17,51,412920,2108,194,24289.41176470588
2024-04-20,23,83,537336,2871,198,23362.434782608696
2024-04-21,10,32,278071,1139,126,27807.1
2024-04-22,14,39,479152,2840,28,34225.142857142855
2024-04-23,14,48,392987,3564,186,28070.5
2024-04-24,12,35,390781,1875,98,32565.083333333332
2024-04-25,16,50,465623,4328,84,29101.4375
2024-04-26,12,37,278070,1270,156,23172.5
2024-04-27,14,39,298680,4690,81,21334.285714285714
2024-04-28,18,50,476377,1722,157,26465.38888888889
2024-04-29,15,41,324706,709,0,21647.066666666666
2024-04-30,11,38,248416,3636,81,22583.272727272728
2024-05-01,10,27,261746,2677,19,26174.6
2024-05-02,15,51,429901,3211,7,28660.066666666666
2024-05-03,18,61,545749,3081,72,30319.38888888889
2024-05-04,12,32,284148,4115,110,23679.0
2024-05-05,16,52,370366,1598,81,23147.875
2024-05-06,23,58,623308,1857,59,27100.347826086956
2024-05-07,16,49,399317,4179,86,24957.3125
2024-05-08,8,29,219067,4181,181,27383.375
2024-05-09,20,74,590175,381,43,29508.75
2024-05-10,13,34,327876,902,149,25221.23076923077
2024-05-11,6,16,204421,2916,38,34070.166666666664
2024-05-12,14,45,324885,4755,64,23206.071428571428
2024-05-13,10,30,329396,1621,20,32939.6
2024-05-14,12,39,254788,822,183,21232.333333333332
2024-05-15,19,64,469978,3774,82,24735.684210526317
2024-05-16,16,51,380747,3585,99,23796.6875
2024-05-17,21,56,482515,4877,140,22976.904761904763
2024-05-18,14,34,349449,3829,199,24960.64285714286
2024-05-19,12,40,208296,3241,26,17358.0
2024-05-20,16,62,461996,894,167,28874.75
2024-05-21,13,34,281616,153,4,21662.76923076923
2024-05-22,16,43,483993,2948,48,30249.5625
2024-05-23,11,32,239766,209,6,21796.909090909092
2024-05-24,10,26,273883,1000,117,27388.3
2024-05-25,12,49,346796,1325,38,28899.666666666668
2024-05-26,9,25,292353,4783,138,32483.666666666668
2024-05-27,19,56,458189,1743,154,24115.21052631579
2024-05-28,17,49,552620,2061,84,32507.058823529413
2024-05-29,9,34,251300,4391,151,27922.222222222223
2024-05-30,16,50,352096,2259,100,22006.0
2024-05-31,20,60,574781,3023,187,28739.05
2024-06-01,13,44,315862,818,167,24297.076923076922
2024-06-02,7,26,184763,3892,98,26394.714285714286
2024-06-03,16,40,419020,223,82,26188.75
2024-06-04,11,38,279375,3376,106,25397.727272727272
2024-06-05,14,41,355792,3792,164,25413.714285714286
2024-06-06,12,38,300997,620,138,25083.083333333332
2024-06-07,22,53,406327,1220,195,18469.409090909092
2024-06-08,14,47,304220,1871,9,21730.0
2024-06-09,18,49,489453,1157,92,27191.833333333332
2024-06-10,7,22,224358,3404,59,32051.14285714286
2024-06-11,11,33,207620,1665,162,18874.545454545456
2024-06-12,16,44,361384,2095,6,22586.5
2024-06-13,9,30,305619,727,75,33957.666666666664
2024-06-14,6,16,223788,4930,176,37298.0
2024-06-15,18,44,493785,4285,22,27432.5
2024-06-16,14,46,291303,4874,142,20807.35714285714
2024-06-17,17,48,522700,1702,54,30747.058823529413
2024-06-18,14,42,207703,447,56,14835.92857142857
2024-06-19,19,60,527767,2131,101,27777.21052631579
2024-06-20,15,47,313031,3393,1,20868.733333333334
2024-06-21,14,52,341899,4918,124,24421.35714285714
2024-06-22,9,27,222871,1161,43,24763.444444444445
2024-06-23,14,47,355386,3316,111,25384.714285714286
2024-06-24,17,50,398920,247,75,23465.882352941175
2024-06-25,13,45,281344,2044,56,21641.846153846152
2024-06-26,11,33,283551,327,82,25777.363636363636
2024-06-27,10,27,186621,2056,105,18662.1
2024-06-28,8,16,300673,3823,91,37584.125
2024-06-29,19,59,483750,4500,18,25460.526315789473
2024-06-30,16,53,430912,1047,106,26932.0
2024-07-01,12,27,256318,4989,59,21359.833333333332
2024-07-02,8,21,215315,215,31,26914.375
2024-07-03,12,33,234768,4406,84,19564.0
2024-07-04,9,24,160607,2995,64,17845.222222222223
2024-07-05,17,50,414512,304,23,24383.058823529413
2024-07-06,16,57,449647,4041,99,28102.9375
2024-07-07,13,42,335440,1242,0,25803.076923076922
2024-07-08,11,34,289066,19,80,26278.727272727272
2024-07-09,20,52,519713,457,76,25985.65
2024-07-10,10,30,282894,3673,53,28289.4
2024-07-11,14,35,366084,1290,97,26148.85714285714
2024-07-12,13,41,319965,271,10,24612.69230769231
2024-07-13,20,65,469390,3840,110,23469.5
2024-07-14,14,39,325541,4959,3,23252.928571428572
2024-07-15,15,44,318173,126,97,21211.533333333333
2024-07-16,10,36,225604,2457,37,22560.4
2024-07-17,17,48,442429,1624,181,26025.235294117647
2024-07-18,10,32,255301,3984,82,25530.1
2024-07-19,10,29,221196,1289,43,22119.6
2024-07-20,11,33,308791,2900,2,28071.909090909092
2024-07-21,17,56,357175,307,16,21010.29411764706
2024-07-22,14,41,372412,1749,98,26600.85714285714
2024-07-23,15,49,270703,1223,25,18046.866666666665
2024-07-24,8,25,157934,1636,63,19741.75
2024-07-25,9,29,239277,3911,167,26586.333333333332
2024-07-26,14,49,429895,1932,149,30706.785714285714
2024-07-27,8,28,202210,1715,82,25276.25
2024-07-28,14,48,329779,773,141,23555.64285714286
2024-07-29,19,54,438808,4452,148,23095.157894736843
2024-07-30,5,17,99597,3497,139,19919.4
2024-07-31,11,33,244714,149,75,22246.727272727272
2024-08-01,12,39,362135,3157,73,30177.916666666668
2024-08-02,9,28,175376,2382,187,19486.222222222223
2024-08-03,14,39,402023,4022,143,28715.928571428572
2024-08-04,22,53,474486,280,92,21567.545454545456
2024-08-05,22,71,536189,2905,125,24372.227272727272
2024-08-06,17,51,495321,4518,45,29136.529411764706
2024-08-07,14,41,359432,1143,169,25673.714285714286
2024-08-08,9,24,230360,4777,45,25595.555555555555
2024-08-09,22,72,644519,2770,92,29296.31818181818
2024-08-10,19,62,494916,3775,189,26048.21052631579
2024-08-11,8,23,225150,4708,57,28143.75
2024-08-12,13,48,328190,728,91,25245.384615384617
2024-08-13,22,67,564263,1495,139,25648.31818181818
2024-08-14,15,40,402855,1786,28,26857.0
2024-08-15,13,38,287360,2882,18,22104.615384615383
2024-08-16,13,38,450705,1347,152,34669.61538461538
2024-08-17,7,22,133431,2509,114,19061.571428571428
2024-08-18,9,26,173818,4125,195,19313.11111111111
2024-08-19,16,53,408997,2676,136,25562.3125
2024-08-20,17,59,477385,1634,142,28081.470588235294
2024-08-21,8,27,260125,3,96,32515.625
2024-08-22,14,50,367965,811,15,26283.214285714286
2024-08-23,12,46,224932,385,64,18744.333333333332
2024-08-24,9,26,137841,4268,114,15315.666666666666
2024-08-25,10,17,202147,1970,4,20214.7
2024-08-26,11,28,211869,1881,22,19260.81818181818
2024-08-27,10,28,196246,4952,22,19624.6
2024-08-28,11,39,365379,2658,169,33216.27272727273
2024-08-29,15,51,374978,4191,81,24998.533333333333
2024-08-30,13,36,295964,1121,156,22766.46153846154
2024-08-31,13,44,323040,3796,70,24849.23076923077
2024-09-01,24,79,576039,4699,77,24001.625
2024-09-02,18,48,523918,2569,24,29106.555555555555
2024-09-03,9,21,234515,3234,169,26057.222222222223
2024-09-04,14,41,333624,2497,6,23830.285714285714
2024-09-05,17,54,402199,161,177,23658.764705882353
2024-09-06,13,38,395597,1523,50,30430.53846153846
2024-09-07,15,53,313449,1964,55,20896.6
2024-09-08,19,58,523696,4083,87,27562.947368421053
2024-09-09,15,48,350723,3092,98,23381.533333333333
2024-09-10,12,35,297268,1212,126,24772.333333333332
2024-09-11,16,52,456774,3028,144,28548.375
2024-09-12,11,29,279695,4914,72,25426.81818181818
2024-09-13,9,28,212049,1404,114,23561.0
2024-09-14,12,33,326365,2090,110,27197.083333333332
2024-09-15,12,39,206699,4840,23,17224.916666666668
2024-09-16,16,53,484449,684,52,30278.0625
2024-09-17,10,37,265604,1011,188,26560.4
2024-09-18,16,38,252972,563,171,15810.75
2024-09-19,18,49,342928,895,78,19051.555555555555
2024-09-20,12,40,319457,4528,199,26621.416666666668
2024-09-21,15,44,455759,1587,96,30383.933333333334
2024-09-22,10,26,247591,4645,165,24759.1
2024-09-23,11,27,297162,1145,182,27014.727272727272
2024-09-24,10,36,262577,4357,162,26257.7
2024-09-25,20,62,588132,2964,87,29406.6
2024-09-26,14,40,410039,513,112,29288.5
2024-09-27,16,50,489681,1666,140,30605.0625
2024-09-28,18,63,489106,3946,174,27172.555555555555
2024-09-29,16,43,400748,2590,118,25046.75
2024-09-30,13,48,348152,3978,129,26780.923076923078
2024-10-01,21,59,623043,3353,77,29668.714285714286
2024-10-02,13,44,327715,1734,56,25208.846153846152
2024-10-03,13,40,363831,3945,163,27987.0
2024-10-04,15,51,341299,4774,21,22753.266666666666
2024-10-05,8,20,180251,827,199,22531.375
2024-10-06,10,24,260479,514,44,26047.9
2024-10-07,14,39,419934,4612,21,29995.285714285714
2024-10-08,14,58,275257,409,52,19661.214285714286
2024-10-09,14,42,306892,4592,36,21920.85714285714
2024-10-10,13,42,414993,1055,30,31922.53846153846
2024-10-11,10,25,189432,3355,160,18943.2
2024-10-12,15,46,411146,3498,20,27409.733333333334
2024-10-13,9,30,194675,2506,114,21630.555555555555
2024-10-14,8,28,270232,2591,156,33779.0
2024-10-15,9,31,180795,2364,136,20088.333333333332
2024-10-16,14,35,300912,1612,111,21493.714285714286
2024-10-17,16,45,467375,2744,198,29210.9375
2024-10-18,11,29,228909,932,106,20809.909090909092
2024-10-19,14,43,354888,4591,198,25349.14285714286
2024-10-20,14,32,452318,147,179,32308.428571428572
2024-10-21,13,39,405899,441,49,31223.0
2024-10-22,11,25,251030,1477,83,22820.909090909092
2024-10-23,10,31,233732,3245,68,23373.2
2024-10-24,20,55,442087,4293,78,22104.35
2024-10-25,9,27,207355,3037,92,23039.444444444445
2024-10-26,17,50,371845,75,166,21873.235294117647
2024-10-27,19,60,390025,541,69,20527.63157894737
2024-10-28,14,43,391903,2222,87,27993.071428571428
2024-10-29,8,27,185592,2541,101,23199.0
2024-10-30,5,21,155548,4966,167,31109.6
2024-10-31,14,45,301196,744,141,21514.0
2024-11-01,16,48,411346,400,168,25709.125
2024-11-02,14,44,343084,4233,136,24506.0
2024-11-03,10,33,365266,3056,149,36526.6
2024-11-04,10,23,282932,2478,153,28293.2
2024-11-05,20,61,454358,3469,56,22717.9
2024-11-06,16,42,309817,2032,6,19363.5625
2024-11-07,11,42,276230,1995,70,25111.81818181818
2024-11-08,14,41,326148,1426,77,23296.285714285714
2024-11-09,17,49,403706,1592,76,23747.41176470588
2024-11-10,13,44,342996,1042,131,26384.30769230769
2024-11-11,12,39,237070,4996,192,19755.833333333332
2024-11-12,14,39,416098,1529,124,29721.285714285714
2024-11-13,17,54,407741,3444,172,23984.764705882353
2024-11-14,14,42,390054,876,81,27861.0
2024-11-15,11,34,331724,1412,39,30156.727272727272
2024-11-16,8,25,145414,837,126,18176.75
2024-11-17,14,31,403635,141,195,28831.071428571428
2024-11-18,9,30,217562,4829,121,24173.555555555555
2024-11-19,10,23,306528,2231,60,30652.8
2024-11-20,13,46,322142,4121,139,24780.153846153848
2024-11-21,20,62,536649,4570,119,26832.45
2024-11-22,11,33,284610,4008,19,25873.636363636364
2024-11-23,10,27,228301,558,44,22830.1
2024-11-24,20,68,477284,2688,29,23864.2
2024-11-25,9,30,269170,4175,88,29907.777777777777
2024-11-26,10,32,266677,3890,27,26667.7
2024-11-27,11,37,260962,911,78,23723.81818181818
2024-11-28,17,48,453689,1380,35,26687.58823529412
2024-11-29,18,56,518781,4065,32,28821.166666666668
2024-11-30,10,34,310137,4153,157,31013.7
2024-12-01,14,38,321352,3316,182,22953.714285714286
2024-12-02,23,75,650544,4134,102,28284.521739130436
2024-12-03,13,39,345500,2276,116,26576.923076923078
2024-12-04,17,55,446877,3957,170,26286.882352941175
2024-12-05,11,37,282571,2345,145,25688.272727272728
2024-12-06,19,61,548423,1989,165,28864.36842105263
2024-12-07,15,38,410061,4773,108,27337.4
2024-12-08,13,44,232000,278,103,17846.153846153848
2024-12-09,13,41,356729,3417,145,27440.69230769231
2024-12-10,15,47,412944,3184,85,27529.6
2024-12-11,10,33,237527,3769,142,23752.7
2024-12-12,16,40,373895,3272,88,23368.4375
2024-12-13,16,42,215683,1949,198,13480.1875
2024-12-14,11,34,362448,1351,155,32949.818181818184
2024-12-15,17,52,413133,1024,194,24301.941176470587
2024-12-16,12,28,187606,1769,52,15633.833333333334
2024-12-17,14,43,343167,1178,65,24511.928571428572
2024-12-18,15,40,432480,4855,88,28832.0
2024-12-19,11,18,253961,1294,3,23087.363636363636
2024-12-20,7,18,128587,2372,138,18369.571428571428
2024-12-21,12,35,379860,4065,155,31655.0
2024-12-22,20,74,528325,2033,26,26416.25
2024-12-23,10,29,265171,1488,149,26517.1
2024-12-24,17,56,486232,4439,6,28601.882352941175
2024-12-25,15,41,412368,4519,71,27491.2
2024-12-26,13,37,409777,4345,178,31521.30769230769
2024-12-27,16,60,442033,1076,140,27627.0625
2024-12-28,10,32,236051,2030,75,23605.1
2024-12-29,13,37,291049,384,44,22388.384615384617
2024-12-30,11,34,222737,827,118,20248.81818181818
2024-12-31,8,24,186889,619,198,23361.125
